id_fato_decisao,processo,relator_atual,nome_ministro_a,meio_processo,origem_decisao,ambiente_julgamento,data_de_autuacao,data_baixa,indicador_colegiado,ano_da_decisao,data_da_decisao,tipo_decisao,andamento_decisao,observacao_do_andamento,ramo_direito,assuntos_do_processo,indicador_de_tramitacao,orgao_julgador,descricao_procedencia_processo,descricao_orgao_origem,anos_tramitacao,categoria_analise,ano_autuacao,ano_decisao,modo_decisao,ambiente_simplificado
27300119,ADI 6044,Min. Cármen Lúcia,MIN. CÁRMEN LÚCIA,ELETRÔNICO,TRIBUNAL PLENO - SESSÃO VIRTUAL,Virtual,2018-11-28,26/03/2021 14:01:36,COLEGIADA,2021,2021-03-08,Decisão Final,Improcedente,"Decisão: O Tribunal, por unanimidade, converteu o julgamento da medida cautelar em definitivo de mérito para julgar improcedente a ação direta e declarar constitucional o § 9º do artigo 29 da Lei dos Partidos Políticos (Lei nº 9.096/95), introduzido pelo artigo 2º da Lei nacional nº 13.107/15, nos termos do voto da Relatora. Plenário, Sessão Virtual de 26.2.2021 a 5.3.2021.",DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | PARTIDO POLÍTICO | CRIAÇÃO DO PARTIDO POLÍTICO,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | PARTIDO POLÍTICO | CRIAÇÃO DO PARTIDO POLÍTICO,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,2.2751540041067764,Mérito,2018,2021,Colegiada,Plenário Virtual
29865119,ADI 6230,Min. Ricardo Lewandowski,MIN. RICARDO LEWANDOWSKI,ELETRÔNICO,TRIBUNAL PLENO - SESSÃO VIRTUAL,Virtual,2019-09-16,07/10/2022 13:44:47,COLEGIADA,2022,2022-08-08,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por unanimidade, i) reconheceu o prejuízo da presente ação direta de inconstitucionalidade quanto aos arts. 55-A, 55-B e 55-C da Lei 9.096/1995, na redação dada pela Lei 13.831/2019; ii) deu interpretação conforme à Constituição ao § 2º do art. 3º da Lei 9.096/1995, na redação dada pela Lei 13.831/2019, para assentar que os partidos políticos podem, no exercício de sua autonomia constitucional, estabelecer a duração dos mandatos de seus dirigentes desde que compatível com o princípio republicano da alternância do poder concretizado por meio da realização de eleições periódicas em prazo razoável; iii) julgou procedente o pedido quanto ao § 3º do art. 3º da Lei 9.096/1995, na redação dada pela Lei 13.831/2019; iv) julgou improcedente o pedido quanto ao art. 55-D da Lei 9.096/1995, na redação dada pela Lei 13.831/2019; e v) determinou que a decisão, no trecho em que reconhece a inconstitucionalidade da norma, produza efeitos exclusivamente a partir de janeiro de 2023,",DIREITO ELEITORAL | PARTIDOS POLÍTICOS |ÓRGÃO DE DIREÇÃO PARTIDÁRIA,DIREITO ELEITORAL | PARTIDOS POLÍTICOS |ÓRGÃO DE DIREÇÃO PARTIDÁRIA,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,2.8939082819986313,Mérito,2019,2022,Colegiada,Plenário Virtual
29077989,ADI 6281,Min. Luiz Fux,MIN. LUIZ FUX,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2019-12-10,03/06/2022 13:39:04,COLEGIADA,2022,2022-02-17,Decisão Final,Improcedente,"Decisão: O Tribunal, por maioria, julgou improcedente a ação direta, nos termos do voto do Ministro Nunes Marques, Redator para o acórdão, vencidos os Ministros Luiz Fux (Presidente e Relator), Edson Fachin, Roberto Barroso e Cármen Lúcia, que julgavam procedente o pedido, e, em menor extensão, o Ministro André Mendonça, que julgava parcialmente procedente o pedido. Plenário, 17.2.2022.",DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | CAMPANHA ELEITORAL | PROPAGANDA ELEITORAL,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | CAMPANHA ELEITORAL | PROPAGANDA ELEITORAL,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,2.190280629705681,Mérito,2019,2022,Colegiada,Plenário Presencial
26990683,ADI 6356,Min. Luís Roberto Barroso,MIN. LUÍS ROBERTO BARROSO,ELETRÔNICO,MONOCRÁTICA,Presencial,2020-03-27,19/08/2020 06:43:33,MONOCRÁTICA,2020,2020-06-19,Decisão Final,Negado seguimento,Prejudicado o pedido de medida cautelar.,DIREITO ELEITORAL | ELEIÇÕES | PRESTAÇÃO DE CONTAS,DIREITO ELEITORAL | ELEIÇÕES | PRESTAÇÃO DE CONTAS,Não,MONOCRÁTICA,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.2299794661190965,Sem mérito,2020,2020,Monocrática,Plenário Presencial
27347872,ADI 6395,Min. Gilmar Mendes,MIN. GILMAR MENDES,ELETRÔNICO,TRIBUNAL PLENO,Virtual,2020-04-24,19/10/2020 18:03:18,COLEGIADA,2020,2020-08-31,Decisão Final,Improcedente,"Decisão: O Tribunal, por unanimidade, julgou improcedente a ação direta quanto ao art. 36, § 11, da Resolução nº 23.604/2019 do Tribunal Superior Eleitoral. Por maioria, julgou improcedente o pedido de declaração de inconstitucionalidade em relação ao art. 28, IV, da Res. TSE, vencidos os Ministros Gilmar Mendes (Relator) e Marco Aurélio. Os Ministros Roberto Barroso e Cármen Lúcia, inicialmente, não conheciam da ação quanto a esse dispositivo, mas, vencidos, julgavam-no improcedente. Redigirá o acórdão o Ministro Edson Fachin. Falou, pelo amicus curiae Movimento Transparência Partidária, o Dr. Marcelo Kalil Issa. Não participou deste julgamento, por motivo de licença médica, o Ministro Celso de Mello. Plenário, Sessão Virtual de 21.8.2020 a 28.8.2020.",DIREITO ELEITORAL | PARTIDOS POLÍTICOS | FUNDO PARTIDÁRIO,DIREITO ELEITORAL | PARTIDOS POLÍTICOS | FUNDO PARTIDÁRIO,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.3531827515400411,Mérito,2020,2020,Colegiada,Plenário Virtual
29156620,ADI 6630,Min. Alexandre de Moraes,MIN. NUNES MARQUES,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2020-12-15,14/09/2022 14:00:40,COLEGIADA,2022,2022-03-09,Decisão Final,Não conhecido(s),"Decisão: Preliminarmente, o Tribunal, por unanimidade, indeferiu os pedidos de realização de sustentação oral e de ingresso como amicus curiae nos autos da ação. Em seguida, por maioria, o Tribunal não conheceu da ação direta de inconstitucionalidade, nos termos do voto do Ministro Alexandre de Moraes, Redator para o acórdão, vencidos os Ministros Nunes Marques (Relator), Roberto Barroso, André Mendonça e Gilmar Mendes. Ausente, justificadamente, o Ministro Dias Toffoli. Presidência do Ministro Luiz Fux. Plenário, 9.3.2022.",DIREITO ELEITORAL | ELEIÇÕES | CANDIDATOS | INELEGIBILIDADE,DIREITO ELEITORAL | ELEIÇÕES | CANDIDATOS | INELEGIBILIDADE,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,1.2292950034223136,Sem mérito,2020,2022,Colegiada,Plenário Presencial
30811763,ADI 6703,Min. Alexandre de Moraes,MIN. ALEXANDRE DE MORAES,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2021-02-26,23/08/2023 08:40:57,COLEGIADA,2023,2023-04-19,Decisão Final,Procedente,"Decisão: O Tribunal, por maioria, julgou procedente o pedido formulado na ação direta, para conferir interpretação conforme a Constituição Federal ao art. 30, § 4º, da Constituição do Estado de Roraima e estabelecer que é permitida apenas uma reeleição ou recondução sucessiva ao mesmo cargo da Mesa Diretora, mantida a composição da Mesa de Assembleia Legislativa eleita antes da publicação da ata de julgamento da ADI 6.524 (7.1.2021); e fixou as seguintes teses de julgamento: ""(i) a eleição dos membros das Mesas das Assembleias Legislativas estaduais deve observar o limite de uma única reeleição ou recondução, limite cuja observância independe de os mandatos consecutivos referirem-se à mesma legislatura; (ii) a vedação à reeleição ou recondução aplica-se somente para o mesmo cargo da mesa diretora, não impedindo que membro da mesa anterior se mantenha no órgão de direção, desde que em cargo distinto; (iii) o limite de uma única reeleição ou recondução, acima veiculado, deve orientar a f",DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | REGISTRO DA CANDIDATURA | REELEIÇÃO,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | REGISTRO DA CANDIDATURA | REELEIÇÃO,Não,TRIBUNAL PLENO,RORAIMA,SUPREMO TRIBUNAL FEDERAL,2.1409993155373033,Mérito,2021,2023,Colegiada,Plenário Presencial
30397065,ADI 7178,Min. Dias Toffoli,MIN. DIAS TOFFOLI,ELETRÔNICO,TRIBUNAL PLENO - SESSÃO VIRTUAL,Virtual,2022-06-01,06/03/2023 14:10:22,COLEGIADA,2022,2022-12-17,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por unanimidade, julgou parcialmente procedente a presente ação direta de inconstitucionalidade, apenas para dar interpretação conforme no sentido de que a inovação trazida dos arts. 3º e 4º da Lei nº 14.356, de 31 de maio de 2022, que alteram os critérios previstos no art. 73, inciso VII, da Lei n. 9.504/97, não se aplica ao pleito de 2022, em virtude do princípio da anterioridade eleitoral, previsto no art. 16 da Constituição Federal, nos termos do voto do Relator. Plenário, Sessão Virtual de 9.12.2022 a 16.12.2022.",DIREITO ELEITORAL | ELEIÇÕES,DIREITO ELEITORAL | ELEIÇÕES,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.5448323066392882,Mérito,2022,2022,Colegiada,Plenário Virtual
30114914,ADI 7214,Min. Ricardo Lewandowski,MIN. RICARDO LEWANDOWSKI,ELETRÔNICO,TRIBUNAL PLENO - SESSÃO VIRTUAL,Virtual,2022-07-20,14/10/2022 21:34:30,COLEGIADA,2022,2022-10-03,Decisão Final,Improcedente,"Decisão: O Tribunal, por unanimidade, conheceu da ação e julgou improcedente o pedido, nos termos do voto do Relator. Plenário, Sessão Virtual de 23.9.2022 a 30.9.2022.",DIREITO ELEITORAL | PARTIDOS POLÍTICOS | FUNDO PARTIDÁRIO,DIREITO ELEITORAL | PARTIDOS POLÍTICOS | FUNDO PARTIDÁRIO,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.2053388090349076,Mérito,2022,2022,Colegiada,Plenário Virtual
36409495,ADI 7244,Min. Nunes Marques,MIN. NUNES MARQUES,ELETRÔNICO,MONOCRÁTICA,Presencial,2022-09-28,*NI*,MONOCRÁTICA,2026,2026-05-14,Decisão Final,Não conhecido(s),Sem Descrição,DIREITO ELEITORAL | ELEIÇÕES,DIREITO ELEITORAL | ELEIÇÕES,Sim,MONOCRÁTICA,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,3.6249144421629023,Sem mérito,2022,2026,Monocrática,Plenário Presencial
32160096,ADI 7325,Min. Ricardo Lewandowski,MIN. RICARDO LEWANDOWSKI,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2022-12-16,06/06/2024 11:59:40,COLEGIADA,2024,2024-02-28,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, julgou parcialmente procedentes as ADIs 7.228, 7.263 e 7.325 para dar interpretação conforme à Constituição ao § 2° do artigo 109 do Código Eleitoral, de maneira a permitir que todas as legendas e seus candidatos participem da distribuição das cadeiras remanescentes descrita no inciso III do artigo 109 do Código Eleitoral, independentemente de terem alcançado a exigência dos 80% e 20% do quociente eleitoral, respectivamente; declarou, ainda, a inconstitucionalidade do artigo 111 do Código Eleitoral e do artigo 13 da Resolução-TSE 23.677/2021 para que, no caso de nenhum partido alcançar o quociente eleitoral, sejam aplicados, sucessivamente, o inciso I c/c o § 2° e, na sequência, o inciso III do art. 109 do Código Eleitoral, de maneira a que a distribuição das cadeiras ocorra, primeiramente, com a aplicação da cláusula de barreira 80/20 e, quando não houver mais partidos e candidatos que atendam tal exigência, as cadeiras restantes sejam distribuídas po",DIREITO ELEITORAL | ELEIÇÕES | RESULTADOS |QUOCIENTE ELEITORAL/PARTIDÁRIO,DIREITO ELEITORAL | ELEIÇÕES | RESULTADOS |QUOCIENTE ELEITORAL/PARTIDÁRIO,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,1.2019164955509924,Mérito,2022,2024,Colegiada,Plenário Presencial
34663314,ADI 7677,Min. Alexandre de Moraes,MIN. ALEXANDRE DE MORAES,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2024-06-20,07/11/2025 14:38:34,COLEGIADA,2025,2025-05-21,Decisão Final,Improcedente,"Decisão: O Tribunal, por unanimidade, conheceu da ação direta e julgou improcedente o pedido formulado, para declarar a constitucionalidade do art. 80, I; e § 1º, I, da Resolução nº 23.607/2019 do Tribunal Superior Eleitoral, fixando a seguinte tese de julgamento: ""A previsão de impedimento à obtenção de certidão de quitação eleitoral até o fim da legislatura, nos casos de contas julgadas como não prestadas, não configura nova hipótese de inelegibilidade e insere-se no poder regulamentar da Justiça Eleitoral"". Tudo nos termos do voto do Relator. Presidência do Ministro Luís Roberto Barroso. Plenário, 21.5.2025.",DIREITO ELEITORAL | ELEIÇÕES | CANDIDATOS | CONDIÇÃO DE ELEGIBILIDADE |CONDIÇÃO DE ELEGIBILIDADE - QUITAÇÃO ELEITORAL,DIREITO ELEITORAL | ELEIÇÕES | CANDIDATOS | CONDIÇÃO DE ELEGIBILIDADE |CONDIÇÃO DE ELEGIBILIDADE - QUITAÇÃO ELEITORAL,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.917180013689254,Mérito,2024,2025,Colegiada,Plenário Presencial
